dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,mean_true_cos_coarse_top10,mean_true_cos_coarse_top100,min_reranked_for_recall10_p0.8,min_reranked_for_recall100_p0.8,min_reranked_for_recall10_p0.9,min_reranked_for_recall100_p0.9,mean_recall_at_10,mean_recall_at_100,mean_visited_nodes,mean_upper_hops,mean_lower_pops,mean_lower_pushes,mean_num_reranked_candidates,mean_overlap_top10,mean_overlap_top100,mean_num_coarse_candidates
arguana,16,qacos,qacos,64,-1,20,0.643458042666316,0.4455680279061198,23.5375,0.0,28.2125,0.0,0.915,0.45199999999999996,998.05,5.6375,103.725,272.7625,100.0,5.0875,45.2,100.0
arguana,16,qacos,qacos,64,-1,50,0.643458042666316,0.4455680279061198,23.5375,0.0,28.2125,0.0,0.915,0.45199999999999996,998.05,5.6375,103.725,272.7625,100.0,5.0875,45.2,100.0
arguana,16,qacos,qacos,128,-1,20,0.7042503315955401,0.48950006198137996,15.725,5.0,20.9,0.0,0.9862500000000001,0.5945000000000003,927.3125,6.0125,102.975,255.8375,100.0,6.775,59.45,100.0
arguana,16,qacos,qacos,128,-1,50,0.7042503315955401,0.48950006198137996,15.725,5.0,20.9,0.0,0.9862500000000001,0.5945000000000003,927.3125,6.0125,102.975,255.8375,100.0,6.775,59.45,100.0
arguana,16,simhash,simhash_baseline,64,-1,20,0.5990991579834372,0.4134117309935391,29.1375,0.0,24.65,0.0,0.81875,0.3733750000000001,1125.2125,5.55,115.9375,265.1625,100.0,4.2625,37.3375,100.0
arguana,16,simhash,simhash_baseline,64,-1,50,0.5990991579834372,0.4134117309935391,29.1375,0.0,24.65,0.0,0.81875,0.3733750000000001,1125.2125,5.55,115.9375,265.1625,100.0,4.2625,37.3375,100.0
arguana,16,simhash,simhash_baseline,128,-1,20,0.6779701698571443,0.4661438984796405,22.775,1.25,26.7375,0.0,0.9775,0.5090000000000001,1032.9375,5.7375,111.45,253.5,100.0,5.825,50.9,100.0
arguana,16,simhash,simhash_baseline,128,-1,50,0.6779701698571443,0.4661438984796405,22.775,1.25,26.7375,0.0,0.9775,0.5090000000000001,1032.9375,5.7375,111.45,253.5,100.0,5.825,50.9,100.0
arguana,32,qacos,qacos,64,-1,20,0.6430067881941796,0.44474436463788153,23.7375,0.0,28.525,0.0,0.91375,0.4498749999999999,1045.3375,5.175,103.125,273.9375,100.0,5.0875,44.9875,100.0
arguana,32,qacos,qacos,64,-1,50,0.6430067881941796,0.44474436463788153,23.7375,0.0,28.525,0.0,0.91375,0.4498749999999999,1045.3375,5.175,103.125,273.9375,100.0,5.0875,44.9875,100.0
arguana,32,qacos,qacos,128,-1,20,0.704269778355956,0.4894277645274997,15.75,5.0,20.925,0.0,0.9862500000000001,0.5938750000000003,964.125,5.6125,102.2875,253.375,100.0,6.775,59.3875,100.0
arguana,32,qacos,qacos,128,-1,50,0.704269778355956,0.4894277645274997,15.75,5.0,20.925,0.0,0.9862500000000001,0.5938750000000003,964.125,5.6125,102.2875,253.375,100.0,6.775,59.3875,100.0
arguana,32,simhash,simhash_baseline,64,-1,20,0.5996992872096598,0.4130580241791904,27.325,0.0,25.45,0.0,0.8175000000000001,0.3733749999999998,1182.4,5.025,115.525,264.675,100.0,4.2625,37.3375,100.0
arguana,32,simhash,simhash_baseline,64,-1,50,0.5996992872096598,0.4130580241791904,27.325,0.0,25.45,0.0,0.8175000000000001,0.3733749999999998,1182.4,5.025,115.525,264.675,100.0,4.2625,37.3375,100.0
arguana,32,simhash,simhash_baseline,128,-1,20,0.677285461500287,0.46520949751138685,22.0625,0.0,27.1375,0.0,0.975,0.5066250000000001,1089.4,5.475,111.8625,250.45,100.0,5.825,50.6625,100.0
arguana,32,simhash,simhash_baseline,128,-1,50,0.677285461500287,0.46520949751138685,22.0625,0.0,27.1375,0.0,0.975,0.5066250000000001,1089.4,5.475,111.8625,250.45,100.0,5.825,50.6625,100.0
fiqa,16,qacos,qacos,64,-1,20,0.43151281755417586,0.3541829943656921,180.1,422.65,258.7625,253.725,0.6287499999999998,0.29137500000000005,1671.6375,6.875,106.85,358.0375,100.0,2.2625,29.1375,100.0
fiqa,16,qacos,qacos,64,-1,50,0.43151281755417586,0.3541829943656921,180.1,422.65,258.7625,253.725,0.6287499999999998,0.29137500000000005,1671.6375,6.875,106.85,358.0375,100.0,2.2625,29.1375,100.0
fiqa,16,qacos,qacos,128,-1,20,0.5138972144573927,0.4109851822257042,65.825,345.35,96.4125,384.3125,0.8575000000000002,0.45025000000000004,1507.975,7.5,105.225,323.9,100.0,4.15,45.025,100.0
fiqa,16,qacos,qacos,128,-1,50,0.5138972144573927,0.4109851822257042,65.825,345.35,96.4125,384.3125,0.8575000000000002,0.45025000000000004,1507.975,7.5,105.225,323.9,100.0,4.15,45.025,100.0
fiqa,16,simhash,simhash_baseline,64,-1,20,0.36611451487988234,0.30199852110818026,230.0125,384.325,294.325,208.025,0.40874999999999984,0.18949999999999995,1972.875,6.7375,122.8375,345.325,100.0,1.4875,18.95,100.0
fiqa,16,simhash,simhash_baseline,64,-1,50,0.36611451487988234,0.30199852110818026,230.0125,384.325,294.325,208.025,0.40874999999999984,0.18949999999999995,1972.875,6.7375,122.8375,345.325,100.0,1.4875,18.95,100.0
fiqa,16,simhash,simhash_baseline,128,-1,20,0.47736454382538795,0.3847775239497423,135.3375,448.9,200.2875,374.0625,0.7362499999999998,0.36487500000000006,1695.125,6.8875,116.75,327.6,100.0,3.1125,36.4875,100.0
fiqa,16,simhash,simhash_baseline,128,-1,50,0.47736454382538795,0.3847775239497423,135.3375,448.9,200.2875,374.0625,0.7362499999999998,0.36487500000000006,1695.125,6.8875,116.75,327.6,100.0,3.1125,36.4875,100.0
fiqa,32,qacos,qacos,64,-1,20,0.42382090333849193,0.3476099886931479,213.275,678.2375,282.175,468.3,0.5937500000000002,0.27712499999999995,2354.5875,6.025,105.1125,385.725,100.0,2.175,27.7125,100.0
fiqa,32,qacos,qacos,64,-1,50,0.42382090333849193,0.3476099886931479,213.275,678.2375,282.175,468.3,0.5937500000000002,0.27712499999999995,2354.5875,6.025,105.1125,385.725,100.0,2.175,27.7125,100.0
fiqa,32,qacos,qacos,128,-1,20,0.5138711243867874,0.40931018311530354,72.5875,357.4125,116.7625,478.0875,0.8525,0.4450000000000002,2045.1875,6.0875,103.15,338.7375,100.0,4.1375,44.5,100.0
fiqa,32,qacos,qacos,128,-1,50,0.5138711243867874,0.40931018311530354,72.5875,357.4125,116.7625,478.0875,0.8525,0.4450000000000002,2045.1875,6.0875,103.15,338.7375,100.0,4.1375,44.5,100.0
fiqa,32,simhash,simhash_baseline,64,-1,20,0.3656492142006755,0.29717025626450777,343.5625,691.0125,409.8375,320.65,0.4074999999999999,0.18374999999999997,2793.6875,5.35,121.225,367.025,100.0,1.475,18.375,100.0
fiqa,32,simhash,simhash_baseline,64,-1,50,0.3656492142006755,0.29717025626450777,343.5625,691.0125,409.8375,320.65,0.4074999999999999,0.18374999999999997,2793.6875,5.35,121.225,367.025,100.0,1.475,18.375,100.0
fiqa,32,simhash,simhash_baseline,128,-1,20,0.47450554072856904,0.38207320440560577,159.3,565.025,216.5625,522.0625,0.7174999999999997,0.35712499999999986,2327.625,5.975,114.925,338.275,100.0,3.0375,35.7125,100.0
fiqa,32,simhash,simhash_baseline,128,-1,50,0.47450554072856904,0.38207320440560577,159.3,565.025,216.5625,522.0625,0.7174999999999997,0.35712499999999986,2327.625,5.975,114.925,338.275,100.0,3.0375,35.7125,100.0
nfcorpus,16,qacos,qacos,64,-1,20,0.32825306211598215,0.26170331119792534,13.7375,0.0,12.9625,0.0,0.5399999999999998,0.272625,1018.5375,5.0125,102.5125,283.6375,100.0,1.9875,27.2625,100.0
nfcorpus,16,qacos,qacos,64,-1,50,0.32825306211598215,0.26170331119792534,13.7375,0.0,12.9625,0.0,0.5399999999999998,0.272625,1018.5375,5.0125,102.5125,283.6375,100.0,1.9875,27.2625,100.0
nfcorpus,16,qacos,qacos,128,-1,20,0.38827671818435194,0.2996017005527392,23.3125,0.0,21.725,0.0,0.7424999999999999,0.39862499999999995,976.4,5.2875,102.2,269.0625,100.0,3.45,39.8625,100.0
nfcorpus,16,qacos,qacos,128,-1,50,0.38827671818435194,0.2996017005527392,23.3125,0.0,21.725,0.0,0.7424999999999999,0.39862499999999995,976.4,5.2875,102.2,269.0625,100.0,3.45,39.8625,100.0
nfcorpus,16,simhash,simhash_baseline,64,-1,20,0.29094154555350543,0.2397907456732355,4.6125,0.0,4.2375,0.0,0.4225,0.20725000000000007,1121.325,4.675,114.95,272.8125,100.0,1.2125,20.725,100.0
nfcorpus,16,simhash,simhash_baseline,64,-1,50,0.29094154555350543,0.2397907456732355,4.6125,0.0,4.2375,0.0,0.4225,0.20725000000000007,1121.325,4.675,114.95,272.8125,100.0,1.2125,20.725,100.0
nfcorpus,16,simhash,simhash_baseline,128,-1,20,0.3622329769190401,0.2830786745529622,18.575,0.0,16.175,0.0,0.6549999999999998,0.3268749999999999,1047.7125,4.8375,111.8875,262.65,100.0,2.725,32.6875,100.0
nfcorpus,16,simhash,simhash_baseline,128,-1,50,0.3622329769190401,0.2830786745529622,18.575,0.0,16.175,0.0,0.6549999999999998,0.3268749999999999,1047.7125,4.8375,111.8875,262.65,100.0,2.725,32.6875,100.0
nfcorpus,32,qacos,qacos,64,-1,20,0.32854920683894306,0.2615526551846415,12.7125,0.0,10.65,0.0,0.5437499999999998,0.2715000000000001,1133.45,3.925,102.4875,299.0375,100.0,1.975,27.15,100.0
nfcorpus,32,qacos,qacos,64,-1,50,0.32854920683894306,0.2615526551846415,12.7125,0.0,10.65,0.0,0.5437499999999998,0.2715000000000001,1133.45,3.925,102.4875,299.0375,100.0,1.975,27.15,100.0
nfcorpus,32,qacos,qacos,128,-1,20,0.38867559912614524,0.2992061297874898,23.6625,0.0,21.8625,0.0,0.7437499999999999,0.39849999999999997,1083.5625,4.3375,102.35,280.775,100.0,3.45,39.85,100.0
nfcorpus,32,qacos,qacos,128,-1,50,0.38867559912614524,0.2992061297874898,23.6625,0.0,21.8625,0.0,0.7437499999999999,0.39849999999999997,1083.5625,4.3375,102.35,280.775,100.0,3.45,39.85,100.0
nfcorpus,32,simhash,simhash_baseline,64,-1,20,0.2879793055006303,0.23899687374942005,4.8,0.0,3.3625,0.0,0.4225,0.20612500000000003,1253.075,3.6125,116.4125,279.4625,100.0,1.2125,20.6125,100.0
nfcorpus,32,simhash,simhash_baseline,64,-1,50,0.2879793055006303,0.23899687374942005,4.8,0.0,3.3625,0.0,0.4225,0.20612500000000003,1253.075,3.6125,116.4125,279.4625,100.0,1.2125,20.6125,100.0
nfcorpus,32,simhash,simhash_baseline,128,-1,20,0.36085914527066054,0.2828880702611059,20.075,0.0,16.525,0.0,0.6574999999999998,0.32675,1167.2125,4.2125,112.875,268.25,100.0,2.7,32.675,100.0
nfcorpus,32,simhash,simhash_baseline,128,-1,50,0.36085914527066054,0.2828880702611059,20.075,0.0,16.525,0.0,0.6574999999999998,0.32675,1167.2125,4.2125,112.875,268.25,100.0,2.7,32.675,100.0
scifact,16,qacos,qacos,64,-1,20,0.4199952985625714,0.32244510356104,19.325,0.0,17.6875,0.0,0.6999999999999997,0.3330000000000001,1156.45,5.5875,102.225,290.55,100.0,2.7875,33.3,100.0
scifact,16,qacos,qacos,64,-1,50,0.4199952985625714,0.32244510356104,19.325,0.0,17.6875,0.0,0.6999999999999997,0.3330000000000001,1156.45,5.5875,102.225,290.55,100.0,2.7875,33.3,100.0
scifact,16,qacos,qacos,128,-1,20,0.47372574303299186,0.3560275591444224,27.2,0.0,20.825,0.0,0.8287500000000001,0.43800000000000017,1073.675,5.5875,101.8375,268.4375,100.0,4.1,43.8,100.0
scifact,16,qacos,qacos,128,-1,50,0.47372574303299186,0.3560275591444224,27.2,0.0,20.825,0.0,0.8287500000000001,0.43800000000000017,1073.675,5.5875,101.8375,268.4375,100.0,4.1,43.8,100.0
scifact,16,simhash,simhash_baseline,64,-1,20,0.3888891825918108,0.3000281351502053,13.825,0.0,12.575,0.0,0.5812499999999999,0.26662499999999995,1316.075,5.325,118.2625,278.1125,100.0,2.175,26.6625,100.0
scifact,16,simhash,simhash_baseline,64,-1,50,0.3888891825918108,0.3000281351502053,13.825,0.0,12.575,0.0,0.5812499999999999,0.26662499999999995,1316.075,5.325,118.2625,278.1125,100.0,2.175,26.6625,100.0
scifact,16,simhash,simhash_baseline,128,-1,20,0.4426744027994573,0.33549863649532197,18.9375,0.0,18.475,0.0,0.72,0.3635000000000001,1182.2875,5.4875,111.4625,267.15,100.0,3.1125,36.35,100.0
scifact,16,simhash,simhash_baseline,128,-1,50,0.4426744027994573,0.33549863649532197,18.9375,0.0,18.475,0.0,0.72,0.3635000000000001,1182.2875,5.4875,111.4625,267.15,100.0,3.1125,36.35,100.0
scifact,32,qacos,qacos,64,-1,20,0.42002695160917936,0.32143458606733477,19.7125,0.0,18.175,0.0,0.6974999999999998,0.3307500000000002,1343.55,5.0375,101.7125,296.65,100.0,2.8,33.075,100.0
scifact,32,qacos,qacos,64,-1,50,0.42002695160917936,0.32143458606733477,19.7125,0.0,18.175,0.0,0.6974999999999998,0.3307500000000002,1343.55,5.0375,101.7125,296.65,100.0,2.8,33.075,100.0
scifact,32,qacos,qacos,128,-1,20,0.4734261123463511,0.3551617354154587,28.4625,0.0,19.675,0.0,0.8262500000000002,0.4341250000000002,1250.15,5.2125,101.55,274.2875,100.0,4.1,43.4125,100.0
scifact,32,qacos,qacos,128,-1,50,0.4734261123463511,0.3551617354154587,28.4625,0.0,19.675,0.0,0.8262500000000002,0.4341250000000002,1250.15,5.2125,101.55,274.2875,100.0,4.1,43.4125,100.0
scifact,32,simhash,simhash_baseline,64,-1,20,0.3859599456191063,0.2979466044998844,14.95,0.0,11.1375,0.0,0.5749999999999998,0.2613750000000001,1519.35,4.9375,115.0625,284.6875,100.0,2.175,26.1375,100.0
scifact,32,simhash,simhash_baseline,64,-1,50,0.3859599456191063,0.2979466044998844,14.95,0.0,11.1375,0.0,0.5749999999999998,0.2613750000000001,1519.35,4.9375,115.0625,284.6875,100.0,2.175,26.1375,100.0
scifact,32,simhash,simhash_baseline,128,-1,20,0.4417909246403724,0.334134801547043,17.975,0.0,20.2375,0.0,0.7187499999999999,0.36050000000000015,1373.7625,4.975,110.6125,276.4625,100.0,3.0875,36.05,100.0
scifact,32,simhash,simhash_baseline,128,-1,50,0.4417909246403724,0.334134801547043,17.975,0.0,20.2375,0.0,0.7187499999999999,0.36050000000000015,1373.7625,4.975,110.6125,276.4625,100.0,3.0875,36.05,100.0
